Date,Merchant,Amount,Description
2026-07-01,Starbucks,6.50,Coffee
2026-07-02,Uber,18.00,Ride to office
2026-07-03,Walmart,54.00,Groceries
2026-07-04,Netflix,15.99,Monthly subscription
2026-07-05,Chipotle,12.75,Lunch
2026-07-06,Shell,48.00,Gas
2026-07-07,Amazon,89.99,Desk organiser
2026-07-08,Starbucks,7.25,Latte
2026-07-09,Lyft,22.50,Ride home
2026-07-10,Target,67.30,Household supplies
2026-07-11,CVS,14.99,Medicine
2026-07-12,Spotify,9.99,Monthly subscription
2026-07-13,Chipotle,11.50,Dinner
2026-07-14,Uber,31.00,Airport ride
2026-07-15,Hilton,189.00,Hotel stay
2026-07-16,Starbucks,5.75,Espresso
2026-07-17,Whole Foods,72.40,Groceries
2026-07-18,AMC,24.00,Movie tickets
2026-07-19,Coursera,49.00,Online course
2026-07-20,Uber Eats,35.20,Dinner delivery
2026-07-21,Walmart,43.60,Household supplies
2026-07-22,Shell,52.00,Gas
2026-07-23,Starbucks,6.00,Cold brew
2026-07-24,Amazon,124.00,Clothing
2026-07-25,Chipotle,13.25,Burrito bowl
2026-07-26,McDonald's,9.80,Breakfast
2026-07-27,Lyft,19.50,Ride
2026-07-28,Best Buy,249.00,Headphones
2026-07-29,Panera,14.20,Lunch
2026-07-30,Starbucks,6.75,Iced coffee
2026-07-31,AT&T,85.00,Phone bill
